Packets,Bytes,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Bits/s A to B,Bits/s B to A
178,1075201,84,7002,94,1068199,3360001.929,512589360.3
188,1104613,78,5432,110,1099181,2753886.071,557256856.7
539,5947786,214,15102,325,5932684,2558539,1005098887
569,6500542,210,14528,359,6486014,2869224.474,1280962976
808,15668636,329,22544,479,15646092,2849967.822,1977947957
830,16266929,329,22597,501,16244332,3425677.321,2462620690
762,14762947,344,23979,418,14738968,2305159.542,1416892811
856,18560291,338,23269,518,18537022,3083029.319,2456065251
1562,34573303,674,46447,888,34526856,4334077.126,3221780886
1644,38744576,673,45764,971,38698812,4497693.512,3803325663
170,944425,72,5314,98,939111,1065380.565,188278247.6
190,988105,70,4876,120,983229,2072018.031,417815466.8
323,4031074,148,10726,175,4020348,4092737.166,1534050688
340,4677744,143,10084,197,4667660,5218646.622,2415595804
344,7579671,144,10807,200,7568864,2974335.69,2083125967
381,10124923,139,9605,242,10115318,2838041.322,2988827742
921,20455299,384,26655,537,20428644,2403412.684,1841998203
1019,24629079,383,26377,636,24602702,3679786.774,3432259068
1666,34112199,697,48707,969,34063492,4032996.806,2820497145
1770,39053571,691,47337,1079,39006234,4178747.913,3443336479
33,205697,19,1602,14,204095,1841490.699,234606145
35,285347,18,1232,17,284115,0,0
190,3154431,76,5607,114,3148824,2954898.471,1659435567
210,4293775,74,5185,136,4288590,2741751.71,2267743291
1089,21218295,459,32319,630,21185976,4801950.734,3147808193
1098,21793215,456,31245,642,21761970,4878738.102,3398014153
990,19174939,370,25699,620,19149240,2304204.201,1716944599
1074,22201701,369,25341,705,22176360,3130382.932,2739453804
2172,43332863,906,62063,1266,43270800,4604724.498,3210449266
2238,46165639,901,61421,1337,46104218,5187976.077,3894231290
18,155497,6,408,12,155089,0,0
15,89915,6,408,9,89507,0,0
187,2746812,74,5020,113,2741792,2035390.969,1111677027
152,2067900,74,5020,78,2062880,2047230.881,841273234.9
1117,16620821,429,30669,688,16590152,8168671.113,4418777769
1161,18902267,423,29097,738,18873170,7970482.07,5169889098
1018,17100731,449,31143,569,17069588,4438669.472,2432850373
1119,21147939,445,30569,674,21117370,4488126.108,3100442266
1192,32642589,475,33617,717,32608972,3151625.783,3057122198
1280,38591583,466,31841,814,38559742,3123392.686,3782457087
40,179689,22,2810,18,176879,828623.8832,52158777.16
38,374173,15,1172,23,373001,371003.4821,118075656.9
63,743481,32,3485,31,739996,1620408.405,344073382.4
67,1110155,26,1921,41,1108234,966613.5893,557643958.6
