Address A,Port A,Address B,Port B,Packets,Bytes,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A
10.0.0.4,54474,10.0.0.3,80,261,892693,104,7319,157,885374,6.721670796,0.016668388,3512757.202,424935632.6
10.0.0.4,54486,10.0.1.1,80,177,826803,83,7167,94,819636,6.732626679,0.017456603,3284487.824,375622221.6
10.0.0.4,54486,10.0.0.3,80,186,862531,77,5591,109,856940,6.739124384,0.010961149,4080594.106,625438081.4
10.0.0.4,54492,10.0.1.1,80,99,220445,41,3257,58,217188,6.747978123,0.018139466,1436425.968,95785840.66
10.0.0.4,54492,10.0.0.1,80,116,251505,39,2819,77,248686,6.750996561,0.015123184,1491220.367,131552191.7
10.0.0.4,54498,10.0.1.1,80,611,4896726,257,18873,354,4877853,6.764459137,0.023705844,6369062.413,1646126753
10.0.0.4,54498,10.0.0.1,80,629,5111150,251,17499,378,5093651,6.771256918,0.016902701,8282226.61,2410810438
10.0.0.4,54502,10.0.1.1,80,90,219905,37,3057,53,216848,6.790685275,0.013837433,1767379.831,125368917.8
10.0.0.4,54502,10.0.0.3,80,105,250543,35,2619,70,247924,6.79146338,0.013061344,1604122.822,151852060.6
10.0.0.4,54518,10.0.1.1,80,16,2649,11,2071,5,578,6.804378278,0.011846347,1398574.599,390331.2979
10.0.0.4,54518,10.0.0.3,80,18,3237,5,495,13,2742,6.805584528,0.010607853,373308.3405,2067901.959
10.0.0.4,54522,10.0.1.1,80,20,5499,12,1297,8,4202,6.817426007,0.009254581,1121174.476,3632363.259
10.0.0.4,54522,10.0.0.3,80,22,5921,10,859,12,5062,6.819241447,0.007442277,923373.3171,5441345.438
10.0.0.4,54526,10.0.1.1,80,12,1571,7,933,5,638,6.827442334,0.012565675,593999.1286,406185.8993
10.0.0.4,54526,10.0.0.3,80,20,3839,5,495,15,3344,6.828649633,0.011292729,350668.1157,2368957.937
10.0.0.4,54540,10.0.1.1,80,164,430043,76,7919,88,422124,6.840042995,0.010123649,6257822.649,333574583.6
10.0.0.4,54540,10.0.0.3,80,158,448135,65,4943,93,443192,6.841083571,0.009105415,4342910.235,389387633.6
10.0.0.4,54544,10.0.1.1,80,401,4863124,190,14411,211,4848713,6.84789937,0.015208778,7580359.185,2550481308
10.0.0.4,54544,10.0.0.2,80,427,5836844,184,12835,243,5824009,6.850553156,0.012549879,8181752.191,3712551492
10.0.0.4,54548,10.0.1.1,80,46,264795,24,2967,22,261828,6.865298053,0.006636253,3576717.163,315633536
10.0.0.4,54548,10.0.0.2,80,44,276167,17,1323,27,274844,6.867547552,0.004378553,0,0
